0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,2209,,,,,1984,1949,<6.0,997,0.87,26.23,,,
,Name,Bayer,Flam,Gould,Var,HD,HIP,RA,Dec,vis.,abs.,Dist.(ly),Sp. class,Notes
ARI,1 Ari A,,1,,,11154,8544,01h 50m 08.58s,+22° 16′ 31.3″,5.83,−0.40,574,K1III+...,binary star
ARI,1 Ari B,,1,,,11155,,01h 50m 08.50s,+22° 16′ 33.0″,5.9,,,,component of the 1 Ari system
ARI,10 Ari,,10,,,12558,9621,02h 03m 39.26s,+25° 56′ 07.6″,5.64,2.02,172,F8IV,
ARI,11 Ari,,11,,,12885,9859,02h 06m 49.22s,+25° 42′ 16.5″,6.01,−1.75,1160,B9IV-Vn,
ARI,14 Ari,,14,,,13174,10053,02h 09m 25.29s,+25° 56′ 23.9″,4.98,0.02,320,F2III,
ARI,15 Ari,,15,,AV,13325,10155,02h 10m 37.54s,+19° 30′ 01.5″,5.68,−0.87,665,M3III,"semiregular variable, Vmax = 5.67m, Vmin = 5.74m, P = 5.0320 d"
ARI,16 Ari,,16,,,13363,10203,02h 11m 12.06s,+25° 56′ 13.0″,6.01,−0.94,801,K4III,
ARI,19 Ari,,19,,,13596,10328,02h 13m 03.25s,+15° 16′ 47.7″,5.72,−0.38,541,M0III,"suspected variable, Vmax = 5.68m, Vmin = 5.76m"
ARI,20 Ari,,20,,,13871,10540,02h 15m 45.94s,+25° 46′ 59.2″,5.79,2.77,131,F6IV-V,
ARI,21 Ari,,21,,,13872,10535,02h 15m 42.83s,+25° 02′ 35.7″,5.57,2.16,157,F6V,
ARI,26 Ari,,26,,UU,15550,11678,02h 30m 38.37s,+19° 51′ 19.4″,6.14,1.94,226,A9V,"δ Sct variable, Vmax = 6.10m, Vmin = 6.15m, P = 0.0676 d"
ARI,27 Ari,,27,,,15596,11698,02h 30m 54.38s,+17° 42′ 14.6″,6.21,1.3,313,G5III-IV,
ARI,29 Ari,,29,,,15814,11843,02h 32m 54.15s,+15° 02′ 04.1″,6,3.71,94,F8V,
ARI,30 Ari A,,30,,,16246,12189,02h 37m 00.44s,+24° 38′ 50.1″,6.48,3.46,131,F6III,binary star
ARI,30 Ari B,,30,,,16232,12184,02h 36m 57.64s,+24° 38′ 53.1″,7.09,4.11,129,F6V,component of the 30 Ari system; has a planet (b)
ARI,31 Ari,,31,,,16234,12153,02h 36m 37.75s,+12° 26′ 52.2″,5.64,2.91,115,F7V,
ARI,33 Ari,,33,,,16628,12489,02h 40m 41.03s,+27° 03′ 39.6″,5.3,1.03,233,A3V,
ARI,35 Ari,,35,,,16908,12719,02h 43m 27.11s,+27° 42′ 25.8″,4.65,−0.62,370,B3V,
ARI,36 Ari,,36,,,17017,12784,02h 44m 19.09s,+17° 45′ 50.5″,6.46,0.89,413,K2III,"suspected variable, ΔV = 0.07m"
ARI,38 Ari,,38,,UV,17093,12832,02h 44m 57.51s,+12° 26′ 45.5″,5.18,2.26,125,A7III-IV,"δ Sct variable, Vmax = 5.18m, Vmin = 5.22m, P = 0.0355 d"
ARI,39 Ari,,39,,,17361,13061,02h 47m 54.44s,+29° 14′ 50.7″,4.52,0.8,181,K1III,Lilii Borea
ARI,4 Ari,,4,,,10982,8387,01h 48m 10.90s,+16° 57′ 20.3″,5.86,1.14,287,B9.5V,
ARI,40 Ari,,40,,,17459,13108,02h 48m 32.06s,+18° 17′ 01.9″,5.83,−0.11,502,K1III,
ARI,41 Ari,c,41,,,17573,13209,02h 49m 58.99s,+27° 15′ 38.8″,3.61,0.16,159,B8Vn,"Bharani; suspected variable, Vmax = 3.60m, Vmin = 3.64m"
ARI,47 Ari,,47,,,18404,13834,02h 58m 05.08s,+20° 40′ 07.7″,5.8,3.29,104,F5IV,suspected variable
ARI,49 Ari,,49,,,18769,14109,03h 01m 54.15s,+26° 27′ 44.4″,5.91,1.82,214,A3m,"suspected variable, Vmax = 5.90m, Vmin = 5.94m"
ARI,51 Ari,,51,,,18803,14150,03h 02m 25.87s,+26° 36′ 34.7″,6.62,4.99,69,G8V,
ARI,52 Ari A,,52,,,19134,14376,03h 05m 26.69s,+25° 15′ 18.7″,5.45,0,402,B7Vn,binary star
ARI,52 Ari B,,52,,,19135,,03h 05m 26.70s,+25° 15′ 19.0″,7,,,,component of the 52 Ari system
ARI,53 Ari,,53,,UW,19374,14514,03h 07m 25.69s,+17° 52′ 47.9″,6.13,−0.69,755,B1.5V,not variable; runaway star
ARI,54 Ari,,54,,,19460,14586,03h 08m 21.09s,+18° 47′ 42.3″,6.25,0.03,570,M0III,"semiregular variable, Vmax = 6.25m, Vmin = 6.28m"
ARI,54 Cet,,-54,,,11257,8588,01h 50m 52.01s,+11° 02′ 36.4″,5.93,2.77,139,F2Vw,"suspected variable, Vmax = 5.93m, Vmin = 5.97m"
ARI,55 Ari,,55,,,19548,14677,03h 09m 36.73s,+29° 04′ 37.6″,5.74,−1.96,1128,B8III,
ARI,56 Ari,,56,,SX,19832,14893,03h 12m 14.24s,+27° 15′ 25.2″,5.78,0.5,371,B9p Si,"prototype SX Ari variable, Vmax = 5.75m, Vmin = 5.81m, P = 0.727902 d"
ARI,59 Ari,,59,,,20618,15514,03h 19m 55.81s,+27° 04′ 16.7″,5.91,1.91,205,G8IV,
ARI,60 Ari,,60,,,20663,15557,03h 20m 25.57s,+25° 39′ 46.7″,6.14,1.4,289,K3III:,
ARI,62 Ari,,62,,,20825,15696,03h 22m 11.89s,+27° 36′ 27.3″,5.55,−1.82,973,G5III,
ARI,64 Ari,,64,,,21017,15861,03h 24m 18.46s,+24° 43′ 27.1″,5.5,1.26,230,K4III,
ARI,65 Ari,,65,,,21050,15870,03h 24m 26.11s,+20° 48′ 12.6″,6.07,1.23,303,A1V,
ARI,66 Ari,,66,,,21467,16181,03h 28m 26.57s,+22° 48′ 15.4″,6.03,1.83,226,K0IV,
ARI,7 Ari,,7,,RR,11763,8993,01h 55m 51.03s,+23° 34′ 38.4″,5.76,−0.26,522,K1III,not variable
ARI,85 Cet,,-85,,,16861,12647,02h 42m 28.95s,+10° 44′ 30.4″,6.32,0.74,426,A2V,"suspected variable, Vmax = 6.28m, Vmin = 6.34m"
ARI,AF Ari,,,,AF,14595,11035,02h 22m 06.62s,+22° 52′ 24.9″,6.71,0.5,615,G3III,"Algol type variable, Vmax = 6.30m, Vmin = 7.10m, P = 153 d"
ARI,BD +20°307,,,,,,8920,01h 54m 50.79s,+21° 18′ 22.5″,9.01,4.19,300,G0V,has a circumstellar disk
ARI,HAT-P-25,,,,,,,03h 13m 45s,+25° 11′ 51″,13.19,5.83,969,G5,has a transiting planet (b)
ARI,HAT-P-47,,,,,,,02h 33m 14.0s,+30° 21′ 38″,10.6,,874,,has a transiting planet (b)
ARI,HAT-P-48,,,,,,,02h 57m 53.0s,+30° 37′ 33″,12.16,,995,,has a transiting planet (b)
ARI,HAT-P-52,,,,,,,02h 50m 53.0s,+29° 01′ 21″,14.07,6.14,1256,,has a transiting planet (b)
ARI,HD 12139,,,,,12139,9307,01h 59m 35.60s,+21° 03′ 31.0″,5.89,0.45,399,K0III-IV,
ARI,HD 12140,,,,,12140,9295,01h 59m 25.88s,+12° 17′ 41.8″,6.09,1.51,269,A6V,
ARI,HD 12479,,,,,12479,9533,02h 02m 35.08s,+13° 28′ 36.2″,5.97,−1.10,845,M2III,suspected variable
ARI,HD 12594,,,,,12594,9627,02h 03m 42.61s,+18° 15′ 11.8″,6.24,−1.83,1342,K4III,
ARI,HD 12661,,,,,12661,9683,02h 04m 34.29s,+25° 24′ 51.5″,7.44,4.59,121,K0V,has two planets (b & c)
ARI,HD 13201,,,,,13201,10050,02h 09m 23.03s,+17° 13′ 28.7″,6.4,3.43,128,F5V,
ARI,HD 13522,,,,,13522,10296,02h 12m 37.51s,+24° 10′ 04.1″,5.96,−0.23,565,K0,
ARI,HD 14067,,,,,14067,10657,02h 17m 10.4s,+23° 46′ 04″,6.51,0.44,533,G9 III,has a planet (b)
ARI,HD 14262,,,,,14262,10795,02h 18m 57.96s,+23° 10′ 04.2″,6.45,1.34,343,A7V,
ARI,HD 14787,,,,,14787,11130,02h 50m 53.0s,+29° 01′ 21″,7.63,,390,G5,has a planet (b)
ARI,HD 15152,,,,,15152,11415,02h 27m 07.26s,+27° 00′ 45.3″,6.14,0.37,464,K5III,suspected variable
ARI,HD 15385,,,,,15385,11578,02h 29m 13.63s,+23° 28′ 08.7″,6.2,1.65,264,A5m,
ARI,HD 15524,,,,,15524,11670,02h 30m 32.31s,+25° 14′ 06.8″,5.88,2.34,166,F6IV,
ARI,HD 16955,,,,,16955,12744,02h 43m 51.25s,+25° 38′ 18.0″,6.35,1.19,352,A3V,
ARI,HD 17674,,,,,17674,13291,02h 51m 04.3s,+30° 17′ 12″,7.56,,145,G0V,has two planets (b)
ARI,HD 17918,,,,,17918,13448,02h 53m 11.66s,+16° 29′ 01.0″,6.3,1.14,352,F5III,
ARI,HD 18700,,,,,18700,14036,03h 00m 44.09s,+10° 52′ 13.7″,5.93,0.27,441,K6,
ARI,HD 18928,,,,,18928,14232,03h 03m 30.11s,+28° 16′ 11.8″,6.38,2.89,163,F0V,
ARI,HD 19080,,,,,19080,14318,03h 04m 40.65s,+15° 51′ 22.5″,6.37,−0.06,631,K3III,
ARI,HD 19270,,,,,19270,14439,03h 06m 23.69s,+13° 11′ 14.6″,5.64,0.69,319,K3III,
ARI,HD 19549,,,,,19549,14649,03h 09m 20.10s,+20° 45′ 40.1″,6.41,0.45,506,K2,
ARI,HD 19600,,,,,19600,14719,03h 10m 08.83s,+27° 49′ 11.6″,6.42,0.09,601,A0V,
ARI,HD 19637,,,,,19637,14748,03h 10m 27.04s,+26° 53′ 45.9″,6.02,0.54,406,K3III,
ARI,HD 19698,,,,,19698,14764,03h 10m 38.78s,+11° 52′ 21.7″,5.97,−0.05,522,B8V,
ARI,HD 19789,,,,,19789,14821,03h 11m 21.93s,+13° 02′ 52.1″,6.11,0.99,344,K0IIIp,
ARI,HD 20149,,,,,20149,15154,03h 15m 20.45s,+30° 33′ 24.0″,5.61,−0.01,434,A1Vs,
ARI,HD 20367,,,,,20367,15323,03h 17m 40.12s,+31° 07′ 37.9″,6.4,4.23,88,G0V,has a planet (b)
ARI,HD 20644,,,,,20644,15549,03h 20m 20.37s,+29° 02′ 54.6″,4.47,−2.00,640,K2II-III,
ARI,HIP 14810,,,,,,14810,03h 11m 14.23s,+21° 05′ 50.5″,8.52,4.9,172,G5V,"has three planets (b, c & d)"
ARI,HR 830,,-16,,VZ,17471,13121,02h 48m 45.87s,+25° 11′ 17.1″,5.89,0.14,460,A0V,"16 Trianguli; Alpha² CVn variable, Vmax = 5.82m, Vmin = 5.89m"
ARI,L 1159-16,,,,TZ,,,02h 00m 12.79s,+13° 03′ 11.2″,12.26,13.99,14.5,M4.5,flare star and BY Dra variable
ARI,LkHα 264,,,,WY,,,02h 56m 37.56s,+20° 05′ 37.1″,12.46,,,K5/6e,"T Tau star, Vmax = 12.25m, Vmin = 12.88m"
ARI,PSR B0301+19,,,,,,,03h 04m 33.12s,+19° 32′ 51.4″,,,,,pulsar
ARI,R Ari,,,,R,13913,10576,02h 16m 07.11s,+25° 03′ 23.7″,7.4,-2.99,3900,M3-6e,"Mira variable, Vmax = 7.1m, Vmin = 14.3m, P = 185.67 d"
ARI,RV Ari,,,,RV,,,02h 15m 07.50s,+18° 04′ 27.9″,11.61,,,A0,"double-mode δ Sct variable, Vmax = 11.61m, Vmin = 12.30m, P = 0.0931281 d"
ARI,RW Ari,,,,RW,,,02h 16m 03.72s,+17° 31′ 59.0″,12.51,,,B8,"RR Lyr variable, Vmax = 12.12m, Vmin = 12.60m, P = 0.3543006 d"
ARI,RX Ari,,,,RX,,,02h 15m 20.78s,+22° 34′ 11.1″,9.41,,,F2V,"Algol variable, Vmax = 9.40m, Vmin = 10.1m, P = 1.029626 d"
ARI,SS Ari,,,,SS,,,02h 04m 18.41s,+24° 00′ 02.2″,10.15,3.52,692,G0,"W UMa variable, Vmax = 10.10m, Vmin = 10.63m, P = 0.40598257 d"
ARI,Teegarden's star,,,,,,,02h 53m 00.89s,+16° 52′ 52.7″,15.4,17.47,12.6,M7.5,brown dwarf
ARI,TT Ari,,,,TT,,,02h 06m 53.08s,+15° 17′ 41.8″,10.2,,,Bep:,"VY Scl star, Vmax = 10.2m, Vmin = 16.5m, P = 0.137551 d"
ARI,UX Ari,,,,UX,21242,16042,03h 26m 35.36s,+28° 42′ 55.2″,6.47,2.97,164,G5IV,"RS CVn variable, Vmax = 6.35m, Vmin = 6.71m, P = 6.388 d"
ARI,VW Ari,,,,VW,15165,11390,02h 26m 45.65s,+10° 33′ 55.1″,6.69,1.16,416,F0IV,"δ Sct variable, Vmax = 6.64m, Vmin = 6.76m, P = 0.1606 d"
ARI,VY Ari,,,,VY,17433,13118,02h 48m 43.72s,+31° 06′ 54.7″,6.76,3.65,136.5,K0,"RS CVn variable, Vmax = 6.68m, Vmin = 7.15m, P = 16.1996 d"
